radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188822535,4,133.4793909,33.9656813,0,162,1,1723783867,1737296128,
LTE,440,11,39937,188822536,88,133.0469328,33.8782190,0,22,1,1731212003,1737296164,
LTE,440,11,39937,188822537,261,133.0446569,33.8708723,0,147,1,1733633758,1737368021,
LTE,440,11,39937,188822538,112,133.0372571,33.8787220,0,31,1,1733633758,1733633759,
LTE,440,11,39937,188822786,289,133.0423752,34.1306760,0,96,1,1695027020,1731211990,
LTE,440,11,39937,188822787,188,133.0315574,34.1298067,0,127,1,1695027020,1731211990,
LTE,440,11,39938,188822791,300,132.4453353,33.4439969,0,38,1,1689323575,1747708580,
LTE,440,11,39937,188823044,323,133.2405188,33.9124769,0,54,1,1693828788,1737296166,
LTE,440,11,39938,188823045,80,132.5634001,33.5276490,0,95,1,1689851526,1748326904,
LTE,440,11,39938,188823046,78,132.5648948,33.5227568,0,23,1,1689851526,1722645681,
LTE,440,11,39938,188823047,79,132.5583902,33.5248385,0,148,1,1689851526,1746147540,
LTE,440,11,39938,188823298,30,132.5488430,33.5170786,0,105,1,1692532912,1746147540,
LTE,440,11,39938,188823300,140,132.5436089,33.5130168,0,138,1,1692532912,1746147540,
LTE,440,11,39938,188823301,167,132.4290483,33.4171678,0,81,1,1699084043,1747708579,
LTE,440,11,39937,188823302,331,132.6826764,33.7227448,0,176,1,1692532866,1743133042,
LTE,440,11,39937,188823553,6,133.6562740,34.0038453,0,65,1,1700096409,1746281008,
LTE,440,11,39937,188823554,155,133.6468800,34.0018839,0,101,1,1700096409,1746281008,
LTE,440,11,39937,188823809,108,133.3591018,33.9324816,0,91,1,1693828788,1737368018,
LTE,440,11,39937,188823810,326,133.3543205,33.9319025,0,18,1,1700096350,1737296169,
LTE,440,11,39937,188823812,19,132.8076119,33.8511835,0,3,1,1695468421,1733653431,
LTE,440,11,39937,188823813,357,132.8052110,33.8504375,0,17,1,1695468421,1733653431,
LTE,440,11,39937,188824065,124,132.6754342,33.6448811,0,13,1,1693988949,1732090528,
LTE,440,11,39937,188824066,41,132.6725401,33.6412712,0,60,1,1693988949,1732090528,
LTE,440,11,39938,188824068,60,132.6629872,33.5779892,0,85,1,1714453911,1720497536,
LTE,440,11,39938,188824321,192,132.6262739,33.5015324,0,259,1,1695804617,1748326903,
LTE,440,11,39938,188824322,185,132.6190773,33.5030991,0,93,1,1695804617,1748326903,
LTE,440,11,39938,188824323,193,132.6168006,33.5049229,0,179,1,1695804617,1748326903,
LTE,440,11,39937,188824326,336,132.6691649,33.6339970,0,82,1,1693988949,1732090529,
LTE,440,11,39937,188824578,246,133.0250344,33.8562770,0,93,1,1700096342,1737296164,
LTE,440,11,39937,188824579,161,133.0138010,33.8538258,0,173,1,1700096342,1737296162,
LTE,440,11,39938,188824580,219,132.3896786,33.5292329,0,7,1,1697612908,1719629782,
LTE,440,11,39937,188824583,317,133.0486737,33.8680006,0,216,1,1733633758,1737368021,
LTE,440,11,39937,188824584,184,133.0333913,33.8567268,0,134,1,1731212005,1737296162,
LTE,440,11,39938,188824833,150,132.9235547,33.6183709,0,25,1,1701748528,1719447191,
LTE,440,11,39938,188824836,93,133.0037986,33.5665063,0,29,1,1701748534,1722394899,
LTE,440,11,39937,188825097,200,132.9804120,34.2829595,0,19,1,1714725574,1735903549,
LTE,440,11,39937,188825345,323,133.0738638,33.9585450,0,52,1,1700579050,1723806848,
LTE,440,11,39937,188825346,10,133.0554315,33.9570185,0,56,1,1714813434,1722072866,
LTE,440,11,39937,188825347,108,133.0528756,33.9677724,0,25,1,1697614910,1723778811,
LTE,440,11,39937,188825348,184,133.0495238,33.8613374,0,140,1,1700096342,1723778811,
LTE,440,11,39937,188825349,242,133.0359723,33.8563318,0,133,1,1700096342,1722645696,
LTE,440,11,39938,188825351,231,132.4769744,33.4662148,0,103,1,1699084028,1747708581,
LTE,440,11,39938,188825603,336,132.7713316,33.5811921,0,73,1,1699427255,1720497531,
LTE,440,11,39937,188825858,268,133.0683545,33.8781729,0,101,1,1733633761,1737368021,
LTE,440,11,39937,188825859,62,133.0598099,33.8741154,0,131,1,1733633759,1737368021,
LTE,440,11,39937,188825860,183,133.0494367,33.8991304,0,10,1,1733633757,1737296141,
LTE,440,11,39937,188825861,254,132.6657659,33.7098261,0,79,1,1732090538,1743133042,
LTE,440,11,39937,188825862,25,132.6355284,33.6901104,0,18,1,1732090538,1743133042,
LTE,440,11,39937,188825863,61,132.6319906,33.6831362,0,19,1,1743133042,1743133042,
LTE,440,11,39937,188825864,252,132.6258310,33.6799240,0,41,1,1743126654,1743133042,
LTE,440,11,39938,188826115,93,132.6664749,33.5783895,0,59,1,1700096304,1732090527,
LTE,440,11,39938,188826116,256,132.6665975,33.5738231,0,176,1,1700096304,1732090527,
LTE,440,11,39938,188826117,303,132.7154848,33.4143473,0,269,1,1699509727,1748326902,
LTE,440,11,39937,188826625,168,132.6932514,33.6833407,0,229,1,1700096305,1732090530,
LTE,440,11,39937,188826626,122,132.6631331,33.6811935,0,227,1,1700119412,1732090530,
LTE,440,11,39938,188826881,309,132.6414913,33.5372023,0,202,1,1700096299,1739147313,
LTE,440,11,39938,188826883,56,132.6356302,33.5354904,0,117,1,1700096299,1739147313,
LTE,440,11,39938,188826885,1,132.6630140,33.2918060,0,31,1,1748319905,1748319905,
LTE,440,11,39938,188826888,31,132.3979379,33.4071222,0,46,1,1702454556,1747708573,
