radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188804361,189,133.1894051,33.9174814,0,20,1,1683989554,1751102612,
LTE,440,11,39937,188804610,298,133.0921889,33.8838062,0,165,1,1683677993,1737368020,
LTE,440,11,39937,188804611,179,133.0874194,33.8819511,0,41,1,1683677993,1737296164,
LTE,440,11,39937,188804612,230,133.1215827,33.9169767,0,187,1,1679295639,1754740371,
LTE,440,11,39937,188804613,258,133.1213813,33.8967309,0,160,1,1678795968,1754740362,
LTE,440,11,39937,188804614,241,133.1149973,33.8973419,0,166,1,1678795968,1754740361,
LTE,440,11,39937,188804618,193,133.1735698,33.8857285,0,45,1,1682300001,1750474200,
LTE,440,11,39937,188804620,168,133.1735594,33.8871927,0,26,1,1682340446,1750474200,
LTE,440,11,39937,188804865,246,133.1929492,33.9149148,0,32,1,1678795968,1751102612,
LTE,440,11,39937,188804866,215,133.1889181,33.9123268,0,29,1,1678795968,1751089566,
LTE,440,11,39937,188804869,202,133.1801869,33.9158101,0,32,1,1679295639,1751102612,
LTE,440,11,39937,188804870,318,133.1637937,33.9078017,0,28,1,1679295639,1751102612,
LTE,440,11,39937,188804871,37,133.1363414,33.8963977,0,155,1,1678795968,1754740362,
LTE,440,11,39937,188804872,335,133.1327990,33.8909424,0,31,1,1679295639,1733633763,
LTE,440,11,39937,188804873,285,133.1282271,33.8964561,0,172,1,1678795968,1754740362,
LTE,440,11,39937,188804874,8,133.1821288,33.9269981,0,70,1,1679295642,1754740369,
LTE,440,11,39937,188804875,307,133.1766983,33.9262956,0,44,1,1679295642,1754740369,
LTE,440,11,39937,188804876,0,133.1792920,33.9276144,0,47,1,1679295642,1754740369,
LTE,440,11,39937,188805123,7,133.1840567,33.9078481,0,99,1,1678795968,1754740363,
LTE,440,11,39937,188805124,369,133.1891004,33.8995880,0,78,1,1679295639,1750474201,
LTE,440,11,39937,188805125,92,133.1795902,33.9056429,0,78,1,1678795968,1754740363,
LTE,440,11,39937,188805126,224,133.2057413,33.9313103,0,23,1,1683989554,1754740369,
LTE,440,11,39937,188805127,138,133.2022189,33.9184522,0,34,1,1697614903,1751102612,
LTE,440,11,39937,188805128,109,133.1994406,33.9310711,0,33,1,1684298356,1754740369,
LTE,440,11,39937,188805129,183,133.1949416,33.9355143,0,284,1,1683989552,1754740368,
LTE,440,11,39937,188805130,179,133.1900878,33.9303411,0,126,1,1683989552,1754740369,
LTE,440,11,39937,188805131,289,133.1866549,33.9299884,0,52,1,1683989552,1754740369,
LTE,440,11,39937,188805377,163,133.2208845,33.9213647,0,91,1,1678795968,1754740364,
LTE,440,11,39937,188805378,254,133.2245047,33.9178603,0,128,1,1679117601,1754740364,
LTE,440,11,39937,188805379,288,133.2167735,33.9190047,0,208,1,1678795968,1754740373,
LTE,440,11,39937,188805380,379,133.2061691,33.9303073,0,38,1,1683989552,1754740368,
LTE,440,11,39937,188805382,377,133.2013916,33.9236122,0,23,1,1683989554,1751102612,
LTE,440,11,39937,188805383,52,133.1653875,33.9211772,0,118,1,1683989551,1754740370,
LTE,440,11,39937,188805384,312,133.1582947,33.9182407,0,141,1,1683989551,1754740370,
LTE,440,11,39937,188805385,125,133.1627271,33.9199903,0,31,1,1683989551,1754740370,
LTE,440,11,39937,188805634,172,133.1163632,33.8831364,0,212,1,1679304217,1753094763,
LTE,440,11,39937,188805635,131,133.1095598,33.8860731,0,181,1,1679304217,1753094762,
LTE,440,11,39937,188806919,287,133.0642480,34.1682129,0,31,1,1683989510,1753606875,
